Year,Petitions Filed,Accepted,Civilian,Military,Not Reported,Denied
2015,783062,730259,720645,7234,2380,75810
2014,773824,653416,642431,7468,3517,66767
2013,772623,779929,769073,6652,4204,83112
2012,899162,757434,745932,7257,4245,65874
2011,756008,694193,677385,8373,8435,57065
2010,710544,619913,604410,9122,6381,56994
2009,570442,743715,726043,7100,10572,109832
2008,525786,1046539,1032281,4342,9916,121283
2007,1382993,660477,648005,3808,8664,89683
2006,730642,702589,684484,6259,11846,120722
2005,602972,604280,589269,4614,10397,108247
2004,662796,537151,520771,4668,11712,103339
2003,523370,462435,449123,3865,9447,91599
2002,700649,572646,550835,1053,20758,139779
2001,501643,606259,575030,758,30471,218326
2000,460916,886026,812579,836,72611,399670
1999,765346,837418,740718,711,95989,379993
1998,932957,461169,437689,961,22519,137395
1997,1412712,596010,532871,531,62608,130676
1996,1277403,1040991,924368,1214,115409,229842
1995,959963,485720,472518,3855,9347,46067
1994,543353,429123,398364,5890,24869,40561
1993,521866,313590,302383,7062,4145,39931
1992,342238,239664,221997,5699,11968,19293
1991,206668,307394,298741,1802,6851,6268
1990,233843,267586,245410,1618,20558,6516
1989,227692,232655,230088,1947,620,5200
1988,237752,240775,238275,2278,222,4304
1987,232988,223249,220393,2362,494,6771
1986,290732,279497,274263,2886,2348,5980
1985,305981,242451,236202,3237,3012,3610
1984,286440,195862,190984,2944,1934,3373
1983,187719,178415,175159,3182,74,3160
1982,201507,141004,138188,2816,NA,3994
1981,171073,164389,160342,4047,NA,4316
1980,192230,156627,152073,4554,NA,4370
1979,165434,163107,157305,5802,NA,3987
1978,168854,171971,166911,5060,NA,3894
1977,186354,159873,154568,5305,NA,2845
1976,199152,189988,182887,7101,NA,2799
1975,149399,140749,134586,6163,NA,2300
1974,136175,131153,124342,6811,NA,2210
1973,126929,120404,112628,7776,NA,1708
1972,121883,116215,107740,8475,NA,1837
1971,109897,108407,98858,9549,NA,2028
1970,114760,110399,99783,10616,NA,1979
1969,102317,98709,93251,5458,NA,2043
1968,103085,102726,100288,2438,NA,1962
1967,108369,104902,102211,2691,NA,2008
1966,104853,103059,100498,2561,NA,2029
1965,106813,104299,101214,3085,NA,2059
1964,113218,112234,109629,2605,NA,2309
1963,121170,124178,121618,2560,NA,2436
1962,129682,127307,124972,2335,NA,3557
1961,138718,132450,130731,1719,NA,3175
1960,127543,119442,117848,1594,NA,2277
1959,109270,103931,102623,1308,NA,2208
1958,117344,119866,118950,916,NA,2688
1957,140547,138043,137198,845,NA,2948
1956,137701,145885,138681,7204,NA,3935
1955,213508,209526,197568,11958,NA,4571
1954,130722,117831,104086,13745,NA,2084
1953,98128,92051,90476,1575,NA,2300
1952,94086,88655,87070,1585,NA,2163
1951,61634,54716,53741,975,NA,2395
1950,66038,66346,64279,2067,NA,2276
1949,71044,66594,64138,2456,NA,2271
1948,68265,70150,69080,1070,NA,2887
1947,88802,93904,77442,16462,NA,3953
1946,123864,150062,134849,15213,NA,6575
1945,195917,231402,208707,22695,NA,9782
1944,325717,441979,392766,49213,NA,7297
1943,377125,318933,281459,37474,NA,13656
1942,343487,270364,268762,1602,NA,8348
1941,277807,277294,275747,1547,NA,7769
1940,278028,235260,232500,2760,NA,6549
1939,213413,188813,185175,3638,NA,5630
1938,175413,162078,158142,3936,NA,4854
1937,165464,164976,162923,2053,NA,4042
1936,167127,141265,140784,481,NA,3124
1935,131378,118945,118945,NA,NA,2765
1934,117125,113669,110867,2802,NA,1133
1933,112629,113363,112368,995,NA,4703
1932,131062,136600,136598,2,NA,5478
1931,145474,143495,140271,3224,NA,7514
1930,113151,169377,167637,1740,NA,9068
1929,255519,224728,224197,531,NA,11848
1928,240321,233155,228006,5149,NA,12479
1927,240339,199804,195493,4311,NA,11946
1926,172232,146331,146239,92,NA,13274
1925,162258,152457,152457,NA,NA,15613
1924,177117,150510,140340,10170,NA,18324
1923,165168,145084,137975,7109,NA,24884
1922,162638,170447,160979,9468,NA,29076
1921,195534,181292,163656,17636,NA,18981
1920,218732,177683,125711,51972,NA,15586
1919,256858,217358,89023,128335,NA,13119
1918,169507,151449,87456,63993,NA,12182
1917,130865,88104,88104,NA,NA,9544
1916,108767,87831,87831,NA,NA,11927
1915,106399,91848,91848,NA,NA,13691
1914,124475,104145,104145,NA,NA,13133
1913,95380,83561,83561,NA,NA,10891
1912,95661,70310,70310,NA,NA,9635
1911,74740,56683,56683,NA,NA,9017
1910,55750,39448,39448,NA,NA,7781
1909,43141,38374,38374,NA,NA,6341
1908,44032,25975,25975,NA,NA,3330
1907,21113,7941,7941,NA,NA,250
