ccode,country.name,year,value
36,Australia,1900,0.98
76,Brazil,1900,0.95
124,Canada,1900,0.98
250,France,1900,1
276,Germany,1900,0.99
356,India,1900,1.03
380,Italy,1900,0.96
392,Japan,1900,0.97
484,Mexico,1900,0.97
528,Netherlands,1900,0.98
724,Spain,1900,0.98
752,Sweden,1900,0.96
826,United Kingdom,1900,0.99
840,United States,1900,0.97
32,Argentina,1910,0.97
36,Australia,1910,0.97
124,Canada,1910,0.98
818,Egypt,1910,1.04
250,France,1910,0.99
276,Germany,1910,0.99
356,India,1910,1.03
380,Italy,1910,0.96
392,Japan,1910,0.98
484,Mexico,1910,0.95
724,Spain,1910,0.98
752,Sweden,1910,0.96
826,United Kingdom,1910,0.99
840,United States,1910,1.01
36,Australia,1920,0.96
76,Brazil,1920,0.98
124,Canada,1920,0.98
818,Egypt,1920,1.04
250,France,1920,0.98
276,Germany,1920,0.97
356,India,1920,1.04
380,Italy,1920,0.96
392,Japan,1920,0.99
484,Mexico,1920,0.98
528,Netherlands,1920,0.96
616,Poland,1920,0.98
724,Spain,1920,0.99
752,Sweden,1920,0.96
764,Thailand,1920,1
826,United Kingdom,1920,0.97
840,United States,1920,0.97
36,Australia,1930,0.96
124,Canada,1930,0.98
818,Egypt,1930,1.06
250,France,1930,0.98
276,Germany,1930,0.96
356,India,1930,1.02
380,Italy,1930,0.96
392,Japan,1930,0.98
484,Mexico,1930,0.97
528,Netherlands,1930,0.96
616,Poland,1930,0.97
710,South Africa,1930,1.06
724,Spain,1930,0.97
752,Sweden,1930,0.97
764,Thailand,1930,0.98
792,Turkey,1930,0.91
826,United Kingdom,1930,0.97
840,United States,1930,1.01
32,Argentina,1940,0.98
36,Australia,1940,0.96
76,Brazil,1940,0.98
124,Canada,1940,0.97
818,Egypt,1940,1.02
250,France,1940,0.97
276,Germany,1940,1.23
392,Japan,1940,0.98
484,Mexico,1940,0.98
528,Netherlands,1940,1.08
710,South Africa,1940,1.03
724,Spain,1940,0.98
752,Sweden,1940,0.96
764,Thailand,1940,0.99
792,Turkey,1940,0.99
840,United States,1940,0.96
32,Argentina,1950,0.97
36,Australia,1950,0.96
76,Brazil,1950,0.98
124,Canada,1950,0.96
156,China,1950,0.91
818,Egypt,1950,0.98
250,France,1950,0.96
276,Germany,1950,0.95
356,India,1950,0.94
360,Indonesia,1950,0.99
380,Italy,1950,0.95
392,Japan,1950,0.96
404,Kenya,1950,1
484,Mexico,1950,0.97
528,Netherlands,1950,0.95
616,Poland,1950,0.95
710,South Africa,1950,0.95
724,Spain,1950,0.96
752,Sweden,1950,0.94
764,Thailand,1950,0.97
792,Turkey,1950,0.97
826,United Kingdom,1950,0.95
840,United States,1950,0.96
32,Argentina,1960,0.97
36,Australia,1960,0.95
76,Brazil,1960,0.98
124,Canada,1960,0.95
156,China,1960,0.93
818,Egypt,1960,0.97
250,France,1960,0.96
276,Germany,1960,0.95
356,India,1960,0.94
360,Indonesia,1960,0.98
380,Italy,1960,0.95
392,Japan,1960,0.96
404,Kenya,1960,1
484,Mexico,1960,0.97
528,Netherlands,1960,0.95
616,Poland,1960,0.95
710,South Africa,1960,0.97
724,Spain,1960,0.96
752,Sweden,1960,0.95
764,Thailand,1960,0.96
792,Turkey,1960,0.98
826,United Kingdom,1960,0.95
840,United States,1960,0.96
32,Argentina,1970,0.97
36,Australia,1970,0.95
76,Brazil,1970,0.98
124,Canada,1970,0.95
156,China,1970,0.94
818,Egypt,1970,0.97
250,France,1970,0.95
276,Germany,1970,0.95
356,India,1970,0.94
360,Indonesia,1970,0.97
380,Italy,1970,0.95
392,Japan,1970,0.95
404,Kenya,1970,0.99
484,Mexico,1970,0.97
528,Netherlands,1970,0.95
616,Poland,1970,0.95
710,South Africa,1970,0.99
724,Spain,1970,0.95
752,Sweden,1970,0.95
764,Thailand,1970,0.96
792,Turkey,1970,0.99
826,United Kingdom,1970,0.95
840,United States,1970,0.95
32,Argentina,1980,0.97
36,Australia,1980,0.95
76,Brazil,1980,0.97
124,Canada,1980,0.95
156,China,1980,0.93
818,Egypt,1980,0.96
250,France,1980,0.95
276,Germany,1980,0.95
356,India,1980,0.93
360,Indonesia,1980,0.97
380,Italy,1980,0.95
392,Japan,1980,0.95
404,Kenya,1980,0.99
484,Mexico,1980,0.97
528,Netherlands,1980,0.96
616,Poland,1980,0.96
710,South Africa,1980,0.99
724,Spain,1980,0.94
752,Sweden,1980,0.95
764,Thailand,1980,0.96
792,Turkey,1980,0.97
826,United Kingdom,1980,0.95
840,United States,1980,0.95
32,Argentina,1990,0.97
36,Australia,1990,0.95
76,Brazil,1990,0.97
124,Canada,1990,0.95
156,China,1990,0.87
818,Egypt,1990,0.96
250,France,1990,0.95
276,Germany,1990,0.95
356,India,1990,0.92
360,Indonesia,1990,0.96
380,Italy,1990,0.94
392,Japan,1990,0.95
404,Kenya,1990,0.98
484,Mexico,1990,0.96
528,Netherlands,1990,0.96
616,Poland,1990,0.96
643,Russia,1990,0.95
710,South Africa,1990,0.98
724,Spain,1990,0.94
752,Sweden,1990,0.95
764,Thailand,1990,0.95
792,Turkey,1990,0.97
826,United Kingdom,1990,0.95
840,United States,1990,0.96
32,Argentina,2000,0.97
36,Australia,2000,0.95
76,Brazil,2000,0.96
124,Canada,2000,0.95
156,China,2000,0.84
818,Egypt,2000,0.96
250,France,2000,0.95
276,Germany,2000,0.95
356,India,2000,0.92
360,Indonesia,2000,0.96
380,Italy,2000,0.95
392,Japan,2000,0.95
404,Kenya,2000,0.98
484,Mexico,2000,0.96
528,Netherlands,2000,0.95
616,Poland,2000,0.95
643,Russia,2000,0.95
710,South Africa,2000,0.98
724,Spain,2000,0.94
752,Sweden,2000,0.95
764,Thailand,2000,0.95
792,Turkey,2000,0.96
826,United Kingdom,2000,0.95
840,United States,2000,0.96
